rule,type,nlc,dc,sql,link
Countries should ensure that they have policies and operational frameworks that prioritise asset recovery in both the domestic and international context.,D,Verify that countries have policies and operational frameworks that prioritise asset recovery in both the domestic and international context.,,,FALSE
"Taking into account the Vienna Convention, the Palermo Convention, the United Nations Convention against Corruption, and the Terrorist Financing Convention, countries should have measures, including legislative measures, to enable their competent authorities to: a) identify, trace and evaluate criminal property and property of corresponding value; b) suspend or withhold consent to a transaction; c) take any appropriate investigative measures; d) expeditiously carry out provisional measures, such as freezing and seizing, to prevent any dealing, transfer or disposal of criminal property and property of corresponding value; e) confiscate criminal property and property of corresponding value through conviction-based confiscation; f) confiscate criminal property through non-conviction based confiscation; g) enforce a resulting confiscation order; and h) ensure effective management of property that is frozen, seized or confiscated.",D,"Verify that, in accordance with the Vienna Convention, the Palermo Convention, the United Nations Convention against Corruption, and the Terrorist Financing Convention, the country has measures, including legislative measures, that enable its competent authorities to: a) identify, trace and evaluate criminal property and property of corresponding value; b) suspend or withhold consent to a transaction; c) take any appropriate investigative measures; d) expeditiously carry out provisional measures, such as freezing and seizing, to prevent any dealing, transfer or disposal of such property; e) confiscate criminal property and property of corresponding value through conviction-based confiscation; f) confiscate criminal property through non-conviction based confiscation; g) enforce a resulting confiscation order; and h) ensure effective management of property that is frozen, seized or confiscated.",,,FALSE
"Countries should criminalise terrorist financing on the basis of the Terrorist Financing Convention, and should criminalise not only the financing of terrorist acts but also the financing of terrorist organisations and individual terrorists even in the absence of a link to a specific terrorist act or acts.",D,"Verify that countries criminalise terrorist financing on the basis of the Terrorist Financing Convention, and criminalise not only the financing of terrorist acts but also the financing of terrorist organisations and individual terrorists even in the absence of a link to a specific terrorist act or acts.",,,FALSE
Countries should ensure that such offences are designated as money laundering predicate offences.,D,Verify that such offences are designated as money laundering predicate offences.,,,FALSE
Countries should implement targeted financial sanctions regimes to comply with United Nations Security Council resolutions relating to the prevention and suppression of terrorism and terrorist financing.,D,Verify that countries have implemented targeted financial sanctions regimes to comply with United Nations Security Council resolutions relating to the prevention and suppression of terrorism and terrorist financing.,,,FALSE
"The resolutions require countries to freeze without delay the funds or other assets of, and to ensure that no funds or other assets are made available, directly or indirectly, to or for the benefit of, any person or entity either (i) designated by, or under the authority of, the United Nations Security Council under Chapter VII of the Charter of the United Nations, including in accordance with resolution 1267 (1999) and its successor resolutions; or (ii) designated by that country pursuant to resolution 1373 (2001).",D,"Verify that countries freeze without delay the funds or other assets of, and ensure that no funds or other assets are made available, directly or indirectly, to or for the benefit of, any person or entity either (i) designated by, or under the authority of, the United Nations Security Council under Chapter VII of the Charter of the United Nations, including in accordance with resolution 1267 (1999) and its successor resolutions; or (ii) designated by that country pursuant to resolution 1373 (2001).",,,FALSE
"Countries should implement targeted financial sanctions to comply with United Nations Security Council resolutions relating to the prevention, suppression and disruption of proliferation of weapons of mass destruction and its financing.",D,"Verify that countries have implemented targeted financial sanctions to comply with United Nations Security Council resolutions relating to the prevention, suppression and disruption of proliferation of weapons of mass destruction and its financing.",,,FALSE
"These resolutions require countries to freeze without delay the funds or other assets of, and to ensure that no funds and other assets are made available, directly or indirectly, to or for the benefit of, any person or entity designated by, or under the authority of, the United Nations Security Council under Chapter VII of the Charter of the United Nations.",D,"Verify that the funds or other assets of any person or entity designated by the United Nations Security Council under Chapter VII of the Charter of the United Nations are frozen without delay, and that no funds or other assets are made available, directly or indirectly, to or for their benefit.",,,FALSE
Countries should identify the organisations which fall within the FATF definition of non-profit organisations (NPOs) and assess their terrorist financing risks.,D,Verify that countries have identified the organisations which fall within the FATF definition of non-profit organisations (NPOs) and have assessed their terrorist financing risks.,,,FALSE
"Countries should have in place focused, proportionate and risk-based measures, without unduly disrupting or discouraging legitimate NPO activities, in line with the risk-based approach.",D,"Verify that countries have in place focused, proportionate and risk-based measures, without unduly disrupting or discouraging legitimate NPO activities, in line with the risk-based approach.",,,FALSE
Countries should ensure that financial institution secrecy laws do not inhibit implementation of the FATF Recommendations.,D,Verify that countries are ensuring financial institution secrecy laws do not impede the implementation of the FATF Recommendations,,,FALSE
Financial institutions should be prohibited from keeping anonymous accounts or accounts in obviously fictitious names.,D,Verify that financial institutions do not keep anonymous accounts or accounts in obviously fictitious names.,"[""r1.Sender_account IS NULL""], [""r1.Receiver_account IS NULL""]",SELECT * FROM samld r1 WHERE r1.Sender_account IS NULL OR r1.Receiver_account IS NULL;,TRUE
"Financial institutions should be required to undertake customer due diligence (CDD) measures when: (i) establishing business relations; (ii) carrying out occasional transactions: (i) above the applicable designated threshold (USD/EUR 15,000); or (ii) that are wire transfers in the circumstances covered by the Interpretive Note to Recommendation 16; (iii) there is a suspicion of money laundering or terrorist financing; or (iv) the financial institution has doubts about the veracity or adequacy of previously obtained customer identification data.",D,"Verify that financial institutions undertake customer due diligence (CDD) measures when: (i) establishing business relations; (ii) carrying out occasional transactions above the applicable designated threshold of USD/EUR 15,000 or that are wire transfers under the circumstances covered by the Interpretive Note to Recommendation 16; (iii) there is a suspicion of money laundering or terrorist financing; or (iv) the financial institution has doubts about the veracity or adequacy of previously obtained customer identification data.","[""r1.Amount > 15000"", ""r1.Payment_currency IN ('USD', 'EUR')""]","SELECT * FROM samld r1 WHERE r1.Amount > 15000 AND r1.Payment_currency IN ('USD', 'EUR');",TRUE
The principle that financial institutions should conduct CDD should be set out in law.,D,Verify that the principle that financial institutions should conduct CDD is set out in law.,,,FALSE
"Each country may determine how it imposes specific CDD obligations, either through law or enforceable means.",D,"Check if each country determines how it imposes specific CDD obligations, either through law or enforceable means.",,,FALSE
"The CDD measures to be taken are as follows: (a) Identifying the customer and verifying that customer’s identity using reliable, independent source documents, data or information. (b) Identifying the beneficial owner, and taking reasonable measures to verify the identity of the beneficial owner, such that the financial institution is satisfied that it knows who the beneficial owner is. For legal persons and arrangements this should include financial institutions understanding the ownership and control structure of the customer. (c) Understanding and, as appropriate, obtaining information on the purpose and intended nature of the business relationship. (d) Conducting ongoing due diligence on the business relationship and scrutiny of transactions undertaken throughout the course of that relationship to ensure that the transactions being conducted are consistent with the institution’s knowledge of the customer, their business and risk profile, including, where necessary, the source of funds.",P,"Verify that: (a) the customer is identified and verified using reliable, independent source documents, data or information; (b) the beneficial owner is identified and verified, including understanding the ownership and control structure of legal persons and arrangements; (c) the purpose and intended nature of the business relationship is understood and documented; and (d) ongoing due diligence and transaction scrutiny are conducted to ensure consistency with the customer’s business, risk profile, and source of funds.",,,FALSE
"Financial institutions should be required to apply each of the CDD measures under (a) to (d) above, but should determine the extent of such measures using a risk-based approach (RBA) in accordance with the Interpretive Notes to this Recommendation and to Recommendation 1.",D,Verify that financial institutions apply each of the CDD measures under (a) to (d) and determine the extent of such measures using a risk-based approach (RBA) in accordance with the Interpretive Notes to this Recommendation and to Recommendation 1.,,,FALSE
Financial institutions should be required to verify the identity of the customer and beneficial owner before or during the course of establishing a business relationship or conducting transactions for occasional customers.,D,"Verify that for any business relationship or transaction for an occasional customer, the financial institution has verified the identity of the customer and beneficial owner before or during the establishment of that relationship or transaction.",,,FALSE
"Countries may permit financial institutions to complete the verification as soon as reasonably practicable following the establishment of the relationship, where the money laundering and terrorist financing risks are effectively managed and where this is essential not to interrupt the normal conduct of business.",D,"Verify that where financial institutions complete verification after the establishment of the relationship, it is done as soon as reasonably practicable, money laundering and terrorist financing risks are effectively managed, and it is essential for not interrupting the normal conduct of business.",,,FALSE
"Where the financial institution is unable to comply with the applicable requirements under paragraphs (a) to (d) above (subject to appropriate modification of the extent of the measures on a risk-based approach), it should be required not to open the account, commence business relations or perform the transaction; or should be required to terminate the business relationship; and should consider making a suspicious transactions report in relation to the customer.",D,"Check if, where the financial institution is unable to comply with the applicable requirements under paragraphs (a) to (d), it is required not to open the account, commence business relations, or perform the transaction; or is required to terminate the business relationship; and considers making a suspicious transactions report in relation to the customer.",,,FALSE
"These requirements should apply to all new customers, although financial institutions should also apply this Recommendation to existing customers on the basis of materiality and risk, and should conduct due diligence on such existing relationships at appropriate times.",D,"Verify that these requirements are applied to all new customers, and that for existing customers, this Recommendation is also applied on the basis of materiality and risk, and that due diligence is conducted on such existing relationships at appropriate times.",,,FALSE
"Financial institutions should be required to maintain, for at least five years, all necessary records on transactions, both domestic and international, to enable them to comply swiftly with information requests from the competent authorities.",D,"Verify that financial institutions maintain, for at least five years, all necessary records on transactions, both domestic and international, to enable them to comply swiftly with information requests from the competent authorities.","t(""SELECT MAX(samld.Date) - MIN(samld.Date) AS dif_data FROM samld"")[""t.dif_data < 5""]",SELECT * FROM (SELECT MAX(samld.Date) - MIN(samld.Date) AS dif_data FROM samld) t WHERE t.dif_data < 5;,TRUE
"Such records must be sufficient to permit reconstruction of individual transactions (including the amounts and types of currency involved, if any) so as to provide, if necessary, evidence for prosecution of criminal activity.",D,"Verify that records are sufficient to permit reconstruction of individual transactions, including the amounts and types of currency involved, so as to provide, if necessary, evidence for prosecution of criminal activity.","[""r1.Amount <= 0""], [""r1.Payment_currency IS NULL""], [""TRIM(r1.Payment_currency) = ''""], [""r1.Received_currency IS NULL""], [""TRIM(r1.Received_currency) = ''""]",SELECT * FROM samld WHERE Amount <= 0 OR Payment_currency IS NULL OR TRIM(Payment_currency) = '' OR Received_currency IS NULL OR TRIM(Received_currency) = '';,TRUE
"Financial institutions should be required to keep all records obtained through CDD measures (e.g. copies or records of official identification documents like passports, identity cards, driving licences or similar documents), account files and business correspondence, including the results of any analysis undertaken (e.g. inquiries to establish the background and purpose of complex, unusual large transactions), for at least five years after the business relationship is ended, or after the date of the occasional transaction.",D,"Verify that for any financial institution, all records obtained through CDD measures (including copies or records of official identification documents like passports, identity cards, or driving licences), account files, and business correspondence, including the results of any analysis undertaken, are kept for at least five years after the business relationship has ended or after the date of an occasional transaction.",,,FALSE
Financial institutions should be required by law to maintain records on transactions and information obtained through the CDD measures.,D,Verify that financial institutions maintain records on transactions and information obtained through the CDD measures.,"[""r1.Is_Laundering IS NULL""], [""r1.Laundering_type IS NULL""]",SELECT * FROM samld r1 WHERE r1.Is_Laundering IS NULL OR r1.Laundering_type IS NULL;,TRUE
The CDD information and the transaction records should be available to domestic competent authorities upon appropriate authority.,D,Verify that the CDD information and the transaction records are available to domestic competent authorities upon appropriate authority.,,,FALSE
"Financial institutions should be required, in relation to foreign politically exposed persons (PEPs) (whether as customer or beneficial owner), in addition to performing normal customer due diligence measures, to: (a) have appropriate risk-management systems to determine whether the customer or the beneficial owner is a politically exposed person; (b) obtain senior management approval for establishing (or continuing, for existing customers) such business relationships; (c) take reasonable measures to establish the source of wealth and source of funds; and (d) conduct enhanced ongoing monitoring of the business relationship.",D,"Verify that financial institutions, in relation to foreign politically exposed persons (PEPs) as either customer or beneficial owner, in addition to performing normal customer due diligence measures, have: (a) appropriate risk-management systems to determine whether the customer or beneficial owner is a politically exposed person; (b) obtained senior management approval for establishing or continuing such business relationships; (c) taken reasonable measures to establish the source of wealth and source of funds; and (d) conducted enhanced ongoing monitoring of the business relationship.",,,FALSE
Financial institutions should be required to take reasonable measures to determine whether a customer or beneficial owner is a domestic PEP or a person who is or has been entrusted with a prominent function by an international organisation.,D,Verify that financial institutions take reasonable measures to determine whether a customer or beneficial owner is a domestic PEP or a person who is or has been entrusted with a prominent function by an international organisation.,,,FALSE
"In cases of a higher risk business relationship with such persons, financial institutions should be required to apply the measures referred to in paragraphs (b), (c) and (d).",D,"Verify that in cases of a higher risk business relationship with such persons, financial institutions apply the measures referred to in paragraphs (b), (c) and (d).",,,FALSE
The requirements for all types of PEP should also apply to family members or close associates of such PEPs.,D,Verify that the requirements for all types of PEP also apply to family members or close associates of such PEPs.,,,
"Financial institutions should be required, in relation to cross-border correspondent banking and other similar relationships, in addition to performing normal customer due diligence measures, to: (a) gather sufficient information about a respondent institution to understand fully the nature of the respondent’s business and to determine from publicly available information the reputation of the institution and the quality of supervision, including whether it has been subject to a money laundering or terrorist financing investigation or regulatory action; (b) assess the respondent institution’s AML/CFT controls; (c) obtain approval from senior management before establishing new correspondent relationships; (d) clearly understand the respective responsibilities of each institution; and (e) with respect to “payable-through accounts”, be satisfied that the respondent bank has conducted CDD on the customers having direct access to accounts of the correspondent bank, and that it is able to provide relevant CDD information upon request to the correspondent bank.",D,"Verify that financial institutions, in relation to cross-border correspondent banking and other similar relationships, in addition to performing normal customer due diligence measures, have: (a) gathered sufficient information about a respondent institution to understand fully the nature of the respondent’s business and to determine from publicly available information the reputation of the institution and the quality of supervision, including whether it has been subject to a money laundering or terrorist financing investigation or regulatory action; (b) assessed the respondent institution’s AML/CFT controls; (c) obtained approval from senior management before establishing new correspondent relationships; (d) clearly understood the respective responsibilities of each institution; and (e) with respect to “payable-through accounts”, satisfied themselves that the respondent bank has conducted CDD on the customers having direct access to accounts of the correspondent bank, and that it is able to provide relevant CDD information upon request to the correspondent bank.",,,FALSE
"Financial institutions should be prohibited from entering into, or continuing, a correspondent banking relationship with shell banks.",D,Verify that no financial institution has entered into or is continuing a correspondent banking relationship with a shell bank.,,,FALSE
Financial institutions should be required to satisfy themselves that respondent institutions do not permit their accounts to be used by shell banks.,D,Verify that financial institutions have confirmed that their respondent institutions do not permit their accounts to be used by shell banks.,,,FALSE
"Countries should take measures to ensure that natural or legal persons that provide money or value transfer services (MVTS) are licensed or registered, and subject to effective systems for monitoring and ensuring compliance with the relevant measures called for in the FATF Recommendations.",D,"Verify that natural or legal persons that provide money or value transfer services (MVTS) are licensed or registered, and subject to effective systems for monitoring and ensuring compliance with the relevant measures called for in the FATF Recommendations.",,,FALSE
"Countries should take action to identify natural or legal persons that carry out MVTS without a license or registration, and to apply appropriate sanctions.",D,"Verify that countries take action to identify natural or legal persons that carry out MVTS without a license or registration, and apply appropriate sanctions.",,,FALSE
"Any natural or legal person working as an agent should also be licensed or registered by a competent authority, or the MVTS provider should maintain a current list of its agents accessible by competent authorities in the countries in which the MVTS provider and its agents operate.",D,"Verify that any natural or legal person working as an agent is licensed or registered by a competent authority, or the MVTS provider maintains a current list of its agents accessible by competent authorities in the countries in which the MVTS provider and its agents operate.",,,FALSE
Countries should take measures to ensure that MVTS providers that use agents include them in their AML/CFT programmes and monitor them for compliance with these programmes.,D,Verify that countries have taken measures to ensure that MVTS providers that use agents include them in their AML/CFT programmes and monitor them for compliance with these programmes.,,,FALSE
"Countries and financial institutions should identify and assess the money laundering or terrorist financing risks that may arise in relation to (a) the development of new products and new business practices, including new delivery mechanisms, and (b) the use of new or developing technologies for both new and pre-existing products.",D,"Verify that countries and financial institutions identify and assess the money laundering or terrorist financing risks that may arise in relation to the development of new products and new business practices, including new delivery mechanisms, and the use of new or developing technologies for both new and pre-existing products.",,,FALSE
"In the case of financial institutions, such a risk assessment should take place prior to the launch of the new products, business practices or the use of new or developing technologies. ",D,"Verify that for financial institutions, a risk assessment takes place prior to the launch of new products, business practices, or the use of new or developing technologies.",,,FALSE
They should take appropriate measures to manage and mitigate those risks.,D,Verify that appropriate measures have been taken to manage and mitigate those risks.,,,FALSE
"To manage and mitigate the risks emerging from virtual assets, countries should ensure that virtual asset service providers are regulated for AML/CFT purposes, and licensed or registered and subject to effective systems for monitoring and ensuring compliance with the relevant measures called for in the FATF Recommendations.",D,"Verify that virtual asset service providers are regulated for AML/CFT purposes, are licensed or registered, and are subject to effective systems for monitoring and ensuring compliance with the relevant measures called for in the FATF Recommendations.",,,FALSE
"Countries should ensure that financial institutions include required and accurate originator information, and required beneficiary information, on wire transfers and related messages, and that the information remains with the wire transfer or related message throughout the payment chain.",D,"Verify that financial institutions include required and accurate originator information, and required beneficiary information, on wire transfers and related messages, and that the information remains with the wire transfer or related message throughout the payment chain.","[""r1.Payment_type LIKE '%Wire%'"", ""r1.Sender_account IS NULL""], [""r1.Payment_type LIKE '%Wire%'"", ""r1.Receiver_account IS NULL)""]",SELECT * FROM samld r1 WHERE r1.Payment_type LIKE '%Wire%' AND (r1.Sender_account IS NULL OR r1.Receiver_account IS NULL);,TRUE
"Countries should ensure that financial institutions monitor wire transfers for the purpose of detecting those which lack required originator and/or beneficiary information, and take appropriate measures.",D,"Verify that financial institutions monitor wire transfers to detect transfers that lack the required originator and/or beneficiary information, and that appropriate measures are taken.","[""r1.Payment_type LIKE '%Wire%'"", ""r1.Sender_account IS NULL""], [""r1.Payment_type LIKE '%Wire%'"", ""r1.Receiver_account IS NULL)""]",SELECT * FROM samld r1 WHERE r1.Payment_type LIKE '%Wire%' AND (r1.Sender_account IS NULL OR r1.Receiver_account IS NULL);,TRUE
"Countries should ensure that, in the context of processing wire transfers, financial institutions take freezing action and should prohibit conducting transactions with designated persons and entities, as per the obligations set out in the relevant United Nations Security Council resolutions, such as resolution 1267 (1999) and its successor resolutions, and resolution 1373(2001), relating to the prevention and suppression of terrorism and terrorist financing.",D,"Verify that, in the context of processing wire transfers, financial institutions take freezing action and prohibit conducting transactions with designated persons and entities, as per the obligations set out in the relevant United Nations Security Council resolutions, such as resolution 1267 (1999) and its successor resolutions, and resolution 1373(2001), relating to the prevention and suppression of terrorism and terrorist financing.",,,FALSE
"Countries may permit financial institutions to rely on third parties to perform elements (a)-(c) of the CDD measures set out in Recommendation 10 or to introduce business, provided that the criteria set out below are met. ",D,"Verify that where countries permit financial institutions to rely on third parties to perform elements (a)-(c) of the CDD measures set out in Recommendation 10 or to introduce business, the required criteria are met.",,,FALSE
"Where such reliance is permitted, the ultimate responsibility for CDD measures remains with the financial institution relying on the third party.",D,"Verify that where reliance on a third party for CDD measures is permitted, the ultimate responsibility for those measures remains with the financial institution relying on the third party.",,,FALSE
A financial institution relying upon a third party should immediately obtain the necessary information concerning elements (a)-(c) of the CDD measures set out in Recommendation 10.,D,Verify that a financial institution relying upon a third party immediately obtains the necessary information concerning elements (a)-(c) of the CDD measures set out in Recommendation 10.,,,FALSE
Financial institutions should take adequate steps to satisfy themselves that copies of identification data and other relevant documentation relating to the CDD requirements will be made available from the third party upon request without delay.,D,Verify that financial institutions have taken adequate steps to ensure that copies of identification data and other relevant documentation relating to CDD requirements will be made available from the third party upon request without delay.,,,FALSE
"The financial institution should satisfy itself that the third party is regulated, supervised or monitored for, and has measures in place for compliance with, CDD and record- keeping requirements in line with Recommendations 10 and 11.",D,"Verify that the third party is regulated, supervised or monitored for, and has measures in place for compliance with, CDD and record-keeping requirements in line with Recommendations 10 and 11.",,,FALSE
"When determining in which countries the third party that meets the conditions can be based, countries should have regard to information available on the level of country risk.",D,"Verify that when determining in which countries a third party can be based, regard is given to available information on the level of country risk.",,,FALSE
"When a financial institution relies on a third party that is part of the same financial group, and (i) that group applies CDD and record-keeping requirements, in line with Recommendations 10, 11 and 12, and programmes against money laundering and terrorist financing, in accordance with Recommendation 18; and (ii) where the effective implementation of those CDD and record-keeping requirements and AML/CFT programmes is supervised at a group level by a competent authority, then relevant competent authorities may consider that the financial institution applies measures under (b) and (c) above through its group programme, and may decide that (d) is not a necessary precondition to reliance when higher country risk is adequately mitigated by the group AML/CFT policies.",D,"Verify that when a financial institution relies on a third party from the same financial group and is permitted to do so without meeting precondition (d) because higher country risk is mitigated by group policies, that both of the following conditions are met: (i) the group applies CDD and record-keeping requirements in line with Recommendations 10, 11, and 12, and AML/CFT programmes in accordance with Recommendation 18; and (ii) the effective implementation of these requirements and programmes is supervised at a group level by a competent authority.",,,FALSE
Financial institutions should be required to implement programmes against money laundering and terrorist financing.,D,Verify that financial institutions have implemented programmes against money laundering and terrorist financing.,,,FALSE
"Financial groups should be required to implement group-wide programmes against money laundering and terrorist financing, including policies and procedures for sharing information within the group for AML/CFT purposes.",D,"Verify that financial groups have implemented group-wide programmes against money laundering and terrorist financing, including policies and procedures for sharing information within the group for AML/CFT purposes.",,,FALSE
Financial institutions should be required to ensure that their foreign branches and majority-owned subsidiaries apply AML/CFT measures consistent with the home country requirements implementing the FATF Recommendations through the financial groups’ programmes against money laundering and terrorist financing.,D,Verify that financial institutions ensure that their foreign branches and majority-owned subsidiaries apply AML/CFT measures consistent with the home country requirements implementing the FATF Recommendations through the financial groups’ programmes against money laundering and terrorist financing.,,,FALSE
"Financial institutions should be required to apply enhanced due diligence measures to business relationships and transactions with natural and legal persons, and financial institutions, from countries for which this is called for by the FATF.",D,"Verify that financial institutions apply enhanced due diligence measures to business relationships and transactions with natural and legal persons, and financial institutions, from countries for which this is called for by the FATF.",,,FALSE
